Class,News,News
neutral,The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,The service also allows users to look at emails in HTML format is improved with 23 additions to choose.
positive,"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .","The services also give the supplier the possibility of entering invoices, receiving orders electronically, sending order confirmations and downloading and creating electronic catalogs."
neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,"The Swedish subsidiary holds `` `` nsr '' of 1.0% ""NSR"" on two advanced copper projects in northern Sweden - Viscaria and Adak projects - During development by Avalon Minerals Ltd. ASX: AVI."
neutral,"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .","The total investment in the extension of the Vantaa factory will amount to around 10 million euros, and the share of OKMETIC of investments is worth around 2.7 million."
neutral,"The value of the deal exceeds EUR500 ,000 , the company said .","The value of the agreement exceeds 500,000 euros, said the company."
neutral,"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .","This implementation will upgrade the existing system, allowing voicemail and video mail to be housed on the same platform."
positive,This is the second successful effort for the financial investor this year .,This is the second successful effort for the financial investor this year.
neutral,Travel expenses would be reimbursed in accordance with the travel policy of the company .,Travel costs would be reimbursed in accordance with the company's travel policy.
neutral,Welcome !,Welcome !
neutral,Wellness services will be important in the future .,Well-being services will be important in the future.
neutral,"You need to be ready when the window opens up , Rosberg said .","You must be ready when the window opens, said Rosberg."
neutral,- Tikkurila inspires you to color your life .,#NAME?
positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,: Lietuvos RESPUBLIKOS SVEIKATOS APSAUGOS MINISTRIJA awarded a contract to the UAB `` `affecto lietuva '' for the software of financial systems.
neutral,CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,CF2 PTY LTD has become a substantial holder of Renison Consolidated Mines NL on January 25 with 150 million shares (7.9 pc).
neutral,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,Raffles Equities Ltd has become a substantial holder in Archer Exploration LTD on January 12 with 11.7 million shares (18.2 pc).
positive,"` For Nordea , moving into the new headquarters signifies the beginning of a new era .","“For Nordaa, entering the new head office means the start of a new era."
neutral,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .","""We respect their decision ... discussions are now closed,"" said Kai Telanne, CEO of Alma Media."
neutral,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',`` Administrators and shareholders should wonder why these practices have been authorized to continue. ''
neutral,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .","`` Each partner will be authorized to buy an amount of electricity corresponding to its share in the consortium, at the cost of production '' said a letter of intent."
positive,"`` I 'm happy with the outcome , '' Sneed said after the hearing .",`` I am satisfied with the result '' said Sneed after the hearing.
positive,"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .","`` The installation of the automatic opening line is an important part of the company's strategy in the region of Central Europe and the East '', said Jozef Misurec, director of Ruukki Slovakia."
positive,`` It allows the young child to move forward with his life . '',`` This allows the young child to go ahead with his life. ''
positive,"`` Our decision and resolve on MeeGo is only stronger , '' she continued .","`` Our decision and our resolution on Meego are only stronger, '' she continued."
neutral,`` The issues identified by Stonesoft affect a range of content inspection technology .,`` The problems identified by Stonesoft affect a range of content inspection technologies.
neutral,`` They want my credit card info and my personal details .,`` They want my credit card information and my personal contact details.
neutral,"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",`` We hope to clarify our policies to Finnish companies where there are gray areas '' said Motlanthe.
neutral,"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .","`` We are now going, after the relevant approvals of authority, make a compulsory offer as required by the Finnish law on the securities markets."
positive,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,"November 1, 2010 - The Finnish Society for Textiles and Clothes Marimekko Oyj (HEL: MMO1V) announced Friday the opening of its first store concept in Seoul in cooperation with the Japanese sector player Look Inc (Tyo: 8029)."
neutral,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,"A wide range of connectivity options, including 3G - HSPA and Wi -Fi, gives consumers high -speed internet access."
positive,A new production line is being completed for the contract production of hormone treatments .,A new production chain is completed for the contractual production of hormonal treatments.
neutral,A quick `` one-stop-shop '' to understand the company .,A quick `` single counter to understand the company.
neutral,About Dopplr Dopplr is a service for smart travellers .,About DOPPLR DOPPLR is a service for smart travelers.
positive,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,About Elcoteq Elcoteq is an electronics manufacturing service company (EMS) in the field of communication technologies.
positive,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,About Nokia Nokia is a pioneer in mobile telecommunications and the world's leading manufacturer of mobile devices.
neutral,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,About Stonesoft Corporation Stonesoft Corporation (OMX: SFT1V) is an innovative supplier of integrated network safety solutions to secure the information flow of distributed organizations.
neutral,"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .","According to the Swedish minister of local governments and financial markets, Mats Odell, the decision to sell state shares in the Teliasonera telecommunications group can only be carried out cooperation with the State of Finland."
neutral,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,The Finnish drinking company Olvi has a new Olvi Kultalonkero drink (`` Golden Long Drink '') on the market in Finland in spring 2009.
positive,"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .","Finnish Geosentric, developer and supplier of solutions, products and technologies for localization services, agreed preliminary of short -term funding of 6 million euros with its main investor."
positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,Finnish Raisio (Diagnostics) launches new RADID DNA tests to ensure food safety.
neutral,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,The Finn Rautaruukki sells his precision tube and his car processing unit Carl Froh in Germany in German Arques industries.
negative,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .","Finnish SUOMINEN CORPORATION which makes wet wipes, non-guides and flexible packaging launches employer-employee negotiations in its Tampere factory in Finland to dismiss around 25 employees."
neutral,Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,The Swedish Wallenberg family investor bought a large part of the C shares in the Swedish retail banking SEB.
negative,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .","According to Arokarhu, some of the purchases that had been scanned on the cash register computer disappeared when the total sum key was pressed."
neutral,"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .","According to Barclays, F-Secure software will protect users from pirates, viruses, spy software and other digital attacks."
neutral,"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .","According to Capman PLC's corporate governance, the majority of members of the committees are independent of the company."
neutral,"According to Finnair Technical Services , the measure is above all due to the employment situation .","According to Finnair Technical Services, the measure is above all due to the job situation."
neutral,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","According to the director general of Honka Japan, Marko Saarelainen, Honkarakene exports approximately 200 round houses ready in Japan per year."
neutral,"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .","According to preliminary data from the Slovakia Statistics Office, goods worth 36 million E36 of 4.4 million were imported from Finland between January and October 2010, which represents 0.1% of total imports from Slovakia ."
neutral,"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .","According to Seikku, the retail sector in Finland is controlled by 3 to 4 large players, while food manufacturers are still relatively small."
negative,"According to the company , staff will be laid off temporarily when necessary .","According to the company, the staff will be temporarily dismissed if necessary."
neutral,"According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .","According to the estimate of Tyrv + æinen, Japan is a very essential location in terms of Asian strategy of Finnair."
neutral,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .","According to Vauramo, the factory lifting equipment is suitable for Asia and certain Chinese trucks."
neutral,"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .","After the signing, the total amount of ASPO renewable credit facility agreements is 50 million euros, which replaces the formerly valid agreements of 80 million euros."
neutral,"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .","Ahlstrom Corporation Stock Exchange version 13.02.2008 Ahstrom, a world leader in high performance -based materials, announced today the completion of the acquisition of Friend Group Inc., which consists of West Carrollton Parchment Company and from West Carrollton Converting Company."
neutral,"Aho is proud of the company 's new product , Lordi-Cola .","AHO is proud of the new product of the company, Lordi-Cola."
neutral,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,Aldata to share the vision of space optimization at Apollo User Group and 2009 Category Management Association Conferences; The company will unveil a new solution that combines business intelligence with space planning data during conferences
neutral,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .","Alexandria, Virginie, August 27 - Timo Vataja de Tampere, Finland, Virve Iget of Oulu, Finland, has developed a computer program product with the activation of the right of use."
neutral,"Also , a seven-year historic analysis is provided for these markets .","In addition, a seven -year historical analysis is provided for these markets."
neutral,"Also , a six-year historic analysis is provided for these markets .","In addition, a six -year historical analysis is provided for these markets."
neutral,"Also , a six-year historic analysis is provided for this market .","In addition, a six -year historical analysis is provided for this market."
neutral,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .","In addition, Technopolis plans to build a technological park of 100 million euros in the Special Economic Zone Neudorf in Saint Petersburg, announced the government of St. Petersburg in February."
neutral,Also Chile is an important market area for forest machine companies .,Chile is also an important market area for forestry machine companies.
neutral,Also the traditional grapevine carries a lot of weight .,The traditional vine also has a lot of weight.
positive,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,Altia’s operating profit increased to 47 million euros against 6.6 million euros.
positive,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,Altimo and Teliasonera said yesterday that Usmanov would be invited to join the new company.
neutral,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,Amanda said she had already made an investment commitment of USD 5.
neutral,"An of the invention , released by the Patent Office , said : `` The chambers are pressurized .","One of the invention, published by the Patent Bureau, said: `` The rooms are under pressure."
neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,An audio webdiffusion will be available live and archived on the Cerne website at www.cerner.com.
neutral,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland .","Anttila's online department store - Netantila - has a position established like the best known, most visited and bought online store in Finland."
neutral,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .","In addition to Nordaa, Ergo is also competing for the position among the three main pension fund suppliers in Estonia."
neutral,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .","Following the merger, the largest professional center for the manufacture of electronics and telecommunications contracts in Finland will be trained in SEVI."
negative,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,"Following negotiations, the employment of 130 employees in blue and white collar of the Oulu factory would be dismissed."
neutral,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .","In August 2008, the Northern Asian sales and service region of Glaston was upgraded to a new market area in Northern Asia."
neutral,"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment .","As global leaders in the development of UV technology for municipal wastewater, drinking water and industrial water treatment systems, Trojan Technologies was a logical partner to supply W + ærtsil + æ with UV technology for the treatment of ballast water."
neutral,"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .","ASPO - ESL Shipping, Leipurin, Telko and Kaukarkkinat business brands - aim to be market leaders in their sectors."
neutral,"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -“ s shares outstanding .","At this stage, a maximum of 60,000 shares in the Tulikivi series A will be acquired, which represents around 0.16% of the company - “the shares in circulation."
positive,Atria Group is a leading Scandinavian meat products group .,The Attria group is one of the main groups of Scandinavian meat products.
positive,"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .","Attria will launch a campaign in September to promote the Campomos brand on the Moscow market, he said."
neutral,BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,The Baskares Assortment orders automatically correspond to purchase invoices with approved purchase orders.
positive,"BG AD , Bulgaria 's leading Internet company .","BG AD, the main Internet company in Bulgaria."
neutral,"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .","The capacity of the installation carried out by the VAAHTO group of Finland is 86,000 tonnes of light coating paper."
neutral,"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .","Capman, an asset manager, has 3 billion euros in assets under management in the Nordic region."
neutral,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .","Capman has four investment areas (Capman Baching, Capman Technology, Capman Life Science and Capman Real Estate), and each of them has a dedicated team."
neutral,Castecka said the town hall would hold talks with other investors interested in the zone .,Castecka said the town hall would hold talks with other investors interested in the area.
neutral,Central Europe is an important market area for Honka .,Central Europe is an important market area for Honka.
neutral,cents Recognize potential partnerships and suppliers .,Cents recognize potential partnerships and suppliers.
positive,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,Some shareholders have irrevocably agreed to vote in favor of the issue of bonds.
neutral,"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .","The changes announced today will be effective after the end of trade on Friday, June 19, 2009."
neutral,Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,Financial director Jim Heindlmeyer said that Beyond Oblivion was in advanced talks with the four major registration companies on his service.
neutral,"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .","CHS Expo Freight is a major Finnish fair, exhibition and culture logistics company that provides logistics services to various events on land, air and sea."
neutral,Competition authorities will have to approve the deal before it can be finalized .,Competition authorities must approve the agreement before they can be finalized.
neutral,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .","Full name of the shareholder: Otto Henrik Bernhard Nyberg for more information, please contact Maija-Liisa Friman, CEO, Tel. +358 9 7597 0711."
neutral,Completion of the transaction is subject to a final agreement and a Due Diligence process .,The completion of the transaction is subject to a final agreement and a reasonable diligence process.
neutral,Construction is expected to be completed in the summer of 2011 .,Construction should be completed in the summer of 2011.
neutral,Consumers are now increasingly interested in what they can do with heir phones .,Consumers are now more and more interested in what they can do with heirs.
neutral,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .","Above all, the decision to use the ETSI (European Telecommunication Standard Institute) - DVB -H. competitive life for mobile television)."
neutral,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,"Currently, more than 100 world fortune companies 500 use SSH Security Solutions."
positive,"Demand seems to have hit bottom now , and some signs of improvement can be seen .","The demand seems to have touched the bottom now, and some signs of improvement can be seen."
neutral,"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .","DNB North of Norway is the Nordic buyer most likely for the citadel, while Nordea would be a good strategic adjustment '', according to the document published by Pietiek."
neutral,Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,Donations to universities The annual general assembly authorized the board of directors to make a Max donation.
neutral,"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .","DOPPLR members share personal and commercial travel plans in private with their networks and highlight interesting places to stay, eat and explore in the cities of the world."
neutral,Dragonfly Love is another video shot from start to finish using the Nokia N8 .,Dragonfly Love is another video from start to finish using the Nokia N8.
neutral,"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .","Over the past 10 years, the factory has produced many Nokia's most popular models, notably the Nokia 2760, the Nokia 6300 as well as the latest music apparatus of Nokia the Nokia 5800 Express Music."
neutral,EB will hold the exclusive rights to market the new entity 's product .,EB will hold exclusive rights to market the product of the new entity.
neutral,"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .","The commercial segment of Elcoteq electronic manufacturing services (EMS) serves customers worldwide in engineering, manufacturing and production services."
neutral,"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .","Elisa Corporation, whose headquarters are in Helsinki, is a Finnish telecommunications company offering private and business customers a full range of telecommunications services."
positive,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''","Employees are also better prepared to answer calls, as they already have detailed information on the caller before answering the phone. ''"
neutral,"Entire paper mills may be set up , especially in the new EU member states .","Whole pope can be created, especially in the new EU member states."
neutral,"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .","EQT has completed its release from Salcomi, a Finnish company that makes mobile phone chargers, selling its remaining participation in the Swedish investment group Nordstjernan for around 35 million euros ($ 47 million)."
neutral,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .","Despite this, Tulikivi's emissions are well below some of the strictest state standards, including Washington and Colorado."
neutral,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,"The president of the FCC, Kevin Martin, said that fair play required to extend the same rules of deregulation to digital subscribers of subscribers as telecommunications suppliers use for large-band networks."
neutral,"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .","Financialwire (TM), in cooperation with the Broadcast Investrend union, also provides comprehensive and daily schedules for telephone and webdiffaces as a shareholders and investors service via Firstalert networks (TM) Oefirstalert (TM) daily."
positive,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,The developer of Finnish automation solutions Cencorp Corporation (OMX Helsinki: CNC1V) said on Friday June 27) that she had finished the negotiations of employees concerning a reorganization of his operations.
neutral,Finnish consumers prefer to buy the cheapest beer brand .,Finnish consumers prefer to buy the cheapest beer brand.
positive,"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .","The Finnish engineering and technology company METSO Oyj said on May 27, 2008 that it had completed the acquisition of paper machines technology from the Japanese engineering company Mitsubishi Heavy Industries (MHI) for an unclear sum."
neutral,"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .","Finnish portfolio company Panostaja Oyj declared on June 12, 2007 that it had signed a letter of intent to acquire the Lahden Lahdension Oy and Cheauxs Oy, active in the heat treatment of metals, for a total of 3.1 MLN Euro ($ 4.1 MLN)."
neutral,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,The Finnish painting and coating company Tikkurila Oyj (HEL: TIK1V) has announced today the launch of Tikkurila Prohouse Method for the protection of wood surfaces via treatment with Ultra Prodorne products.
neutral,"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .","After recording, the number of actions issued and in the circulation of Basware is 12,890,829."
neutral,Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,Fortum had previously bought the participation held by the State in TGK-10 in Rao Ues during its reform.
neutral,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .","Founded in 1649, Fiskars has over 360 years of excellence in product quality and is the oldest company in Finland."
positive,"Furthermore , our fully electrically driven cranes are environmentally friendly .","In addition, our fully electric cranes are environmentally friendly."
neutral,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,Genvec is a biopharmaceutical company developing new drugs and therapeutic vaccines.
neutral,"GeoSentric 's flagship product is the GyPSii platform , which uses pioneering geo-location software technology to connect people to people , and people to places with new and exciting social community and location-specific services .","The flagship product of Geosentric is the Gypsii platform, which uses the pioneering technology of geolocation software to connect people to people, and people to places with new and exciting social services and specific location services."
neutral,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .","The well -known Glaston brands are Bavelloni, in the machines and precontrol tools, Tamglass and Uniglass, in safety glass machines and Albat + Wirsam in software solutions."
neutral,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .","The well -known Glaston brands are Bavelloni, in the machines and precontrol tools, Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions."
neutral,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .","Goodwill and other intangible assets represent some 2.0 mln euro (2.6 mln) of the purchase price, including 20 pct to pay in ASPO shares."
positive,Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,"In September, officials of the city of Grapevine approved $ 35 million in tax discounts and expansion subsidies."
neutral,Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,Gunneflo will be responsible for the Oriola-KD pharmaceutical business in Sweden.
neutral,"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States .",Harju Elekter was founded in 1968 and is the main producer of electrical equipment and materials in the Baltic States.
neutral,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .","Harold W. Young is an independent broker working in close collaboration with several retailers, including Ahold USA, Market Basket, CVS, BJ's Wholesale Club, Hannaford and Cumberland Farms."
positive,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,He also mentions that this improvement in the service follows the recent expansion of the Finnline service of Bilbao via Antwerp and Helsinki and Hull via Helsinki in Saint Petersburg.
neutral,HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,Helsinki (AFX) - Outokumpu said that he agreed to sell the Hitura Nickel mine in Finland at the Canadian Group Belvedere Resources Ltd for 10 MLN EUR in actions in the belvedere.
neutral,"HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries .","HKSCAN, whose headquarters are in Turku, Finland, is one of the main food groups in Northern Europe with 10,000 employees in nine countries."
neutral,"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland .","HKSCAN is one of the main food companies in northern Europe with intestines in Finland, Sweden, Baltic and Poland."
neutral,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .","Honkarakene mainly exports large luxury log houses to Russia to be used as single -family houses or holiday homes; 70% of sales go to the Moscow region, around 20% in the Saint Petersburg region and the rest in other places."
neutral,However short-term rentals are becoming more popular .,"However, short -term rentals are becoming more and more popular."
neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .","Huhtamaki Oyj Stock Exchange version 16.12.2008 at 09:30 Huhtamaki Oyj decided to clarify the structure of the group by separating catering and consumer goods into its production unit in Hameenlinna, Finland, transferring companies to its subsidiares in mode."
positive,"Iggesunds Bruk in Sweden is one of the most advanced , fully integrated pulp and paperboard mills in the world .",Bruk Iglesunds in Sweden is one of the most advanced and integrated pulp and boxes factories in the world.
neutral,"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .","In addition, Yit has reserved Epi Russia the right to widen the logistics center by around 100,000 m2."
neutral,"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .","In addition to the presentations organized by the president and chief executive officer Kai Telanne and the financial director Tuomas Itkonen, the participants will have the opportunity to discuss with other members of the management of the company."
neutral,"In Finland , 71 % of paper and paperboard is reclaimed .","In Finland, 71% of paper and cardboard are recovered."
neutral,"In Finland , export industry forms a large clientele for the packaging industry .","In Finland, the export industry is a large clientele for the packaging industry."
neutral,"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .","By providing managed services, Nokia assumes responsibility for construction, operation and transfer as well as optimization of the Indosat 3G network."
neutral,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators .","In Switzerland, Teleste is an established supplier of products for a long time and its main customers include cable and fiber operators at home (FTTH)."
neutral,"In the end , Sanoma News wants to secure its foundation with the savings .","In the end, Sanoma News wants to secure his bases with savings."
positive,"In the Homeware area , Fiskars provides leading branded products for home , kitchen , and interior design .","In the household items area, Fiskars provides leading brand products for home, kitchen and interior design."
neutral,"In the survey , Goodyear is the third most valued tyre brand , followed by Continental and Bridgestone .","In the survey, Goodyear is the third most appreciated tire brand, followed by Continental and Bridgestone."
neutral,"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .","In today's activities, you must pre -empt what consumers want, said Mohammed Zainalabédin, managing director of Zain Bahrain."
neutral,Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,Ingen is a manufacturer of medical devices established with a new range of emerging medical products for the respiratory market worth an estimated $ 4 billion in the United States and $ 8 billion worldwide.
neutral,Insurance policies should be simple .,Insurance policies must be simple.
neutral,It has several innovative small molecule and biological drug candidates at different stages of clinical development .,It has several innovative candidates in small molecules and biological drugs at different stages of clinical development.
