,News
3901,"['second', 'company', 'acquired', 'sweden', 's', 'reftele', 'maskinservice', 'ab', 'business', 'mainly', 'field', 'service', 'spare', 'part', 'manufacturing', 'employee', 'mln', 'eur', 'sale', 'year']"
4112,"['reproduction', 'distribution', 'prohibited']"
288,"['company', 'expects', 'net', 'sale', 'increase']"
930,"['pleased', 'deliver', 'basware', 'invoice', 'automation', 'solution', 'major', 'retail', 'company']"
2379,"['largest', 'construction', 'company', 'finland', 'yit', 'corporation', 'acquire', 'share', 'slovak', 'construction', 'company', 'reding', 'bratislava']"
2857,"['country', 'switzerland', 'sector', 'pharmaceutical', 'target', 'synosia', 'therapeutic', 'holding', 'ag', 'buyer', 'biotie', 'therapy', 'corp', 'deal', 'size', 'usd', 'm', 'type', 'corporate', 'acquisition', 'financing', 'allstock', 'status', 'closed']"
2929,"['chartered', 'accountant', 'british', 'columbia', 'alberta', 'certified', 'public', 'accountant', 'washington', 'state']"
4160,"['finnish', 'stockmann', 'group', 's', 'mail', 'order', 'unit', 'hobby', 'hall', 'launched', 'trial', 'marketing', 'campaign', 'russia']"
2907,"['finnlines', 'said', 'deal', 'strategy', 'focus', 'core', 'business']"
2388,"['according', 'company', 'layoff', 'temporary']"
272,"['profit', 'period', 'eur', 'mn', 'eur', 'mn']"
4836,"['operating', 'profit', 'half', 'm', 'm', 'glisten', 'invested', 'brand', 'management', 'team']"
4235,"['shortterm', 'license', 'game', 'cost', 'little', 'purchasing', 'game', 'outright', 'cost']"
3337,"['proposal', 'board', 'director', 'make', 'annual', 'general', 'meeting', 'attached', 'release']"
278,"['sale', 'latin', 'america', 'increased', 'eur', 'mn', 'total', 'mn', 'mobile', 'device', 'sold', 'area', 'representing', 'increase', 'corresponding', 'period']"
952,"['finnish', 'software', 'developer', 'basware', 'oyj', 'said', 'november', 'subsidiary', 'basware', 'won', 'order', 'provide', 'software', 'contract', 'lifecycle', 'management', 'unnamed', 'medical', 'technology', 'company']"
3198,"['company', 's', 'board', 'director', 'propose', 'dividend', 'eur', 'share']"
2252,"['contract', 'cramo', 'sverige', 'subcontractor', 'brinkab', 'ab', 'provide', 'scaffolding', 'installation', 'lkab', 's', 'new', 'pellet', 'plant', 'kiruna', 'northern', 'sweden']"
3123,"['far', 'known', 'did', 'sell', 'share', 'owns', 'personally']"
2015,"['fullyear', 'net', 'sale', 'expected', 'increase', 'approximately', 'company', 'said']"
3248,"['financial', 'statement', 'interim', 'report', 'released', 'finnish', 'time', 'given', 'date']"
3654,"['ixonos', 'finance', 'acquisition', 'mln', 'euro', 'mln', 'loan']"
2451,"['fancy', 'dans', 'fab', 'glasgow', 'gift', 'interior', 'store', 'fancy', 'dans', 'moving']"
4522,"['block', 'lamp', 'harri', 'koskinen', 's', 'light', 'introduced', 'bestseller']"
1698,"['open', 'year', 'largest', 'facility', 'world', 'produce', 'diesel', 'fuel', 'renewable', 'feedstock', 'palm', 'oil', 'animal', 'fat']"
4568,"['improved', 'voice', 'capability', 'customer', 'streamlined', 'way', 'comply', 'recall', 'traceability', 'requirement', 'providing', 'competitive', 'advantage']"
2803,"['earlier', 'month', 'company', 'signed', 'deal', 'indiabased', 'information', 'technology', 'service', 'giant', 'wipro', 'technology', 'transfer', 'sell', 'radio', 'access', 'related', 'rd', 'activity', 'berlin']"
2384,"['according', 'construction', 'work', 'start', 'spring', 'facility', 'commissioned', 'spring']"
3860,"['liquid', 'handling', 'segment', 'offer', 'laboratory', 'equipment', 'accessory', 'including', 'mechanical', 'electronic', 'pipette', 'disposable', 'tip', 'used', 'research', 'institution', 'university', 'hospital', 'pharmaceutical', 'food', 'industry', 'biohit', 'brand']"
4248,"['company', 'plan', 'close', 'line', 'plant', 'job', 'threat']"
155,"['alma', 'medium', 'expects', 'net', 'sale', 'increase', 'forecast', 'previously']"
4319,"['suspect', 'stole', 'burgundy', 'nissan', 'altima']"
985,"['launch', 'plant', 'june', 'went', 'producing', 'advanced', 'fuel', 'couple', 'week']"
3106,"['risto', 'jalo', 'chief', 'executive', 'dormus', 'print', 'owner', 'remainder', 'company', 'position', 'acquisition']"
3652,"['owns', 'share', 'amer', 'sport', 'corporation', 'equaling', 'company', 's', 'share', 'capital', 'voting', 'right']"
2114,"['bank', 'posted', 'net', 'profit', 'lt', 'mn']"
4633,"['repurchase', 'shall', 'decrease', 'distributable', 'capital', 'reserve']"
981,"['federal', 'secretary', 'transport', 'communication', 'mexico', 'awarded', 'poyry', 'mexican', 'partner', 'sintra', 'consulting', 'contract', 'connection', 'buenavistacuautitlan', 'suburban', 'railway']"
2372,"['finnish', 'food', 'industry', 'company', 'hk', 'ruokatalo', 'atrium', 'form', 'joint', 'venture', 'company', 'called', 'lænsikalkkuna', 'produce', 'turkey', 'meat']"
1751,"['helsinki', 'thomson', 'financial', 'kone', 'said', 'won', 'order', 'saudi', 'arabia', 'united', 'arab', 'emirate', 'qatar', 'worth', 'mln', 'eur']"
4051,"['fair', 'value', 'change', 'investment', 'property', 'eur', 'mn', 'compared', 'eur', 'mn', 'quarter']"
3535,"['biomass', 'used', 'sourced', 'locally', 'rest', 'plant', 's', 'fuel', 'need', 'met', 'peat']"
2311,"['impact', 'acquisition', 'teleste', 's', 'net', 'sale', 'estimated', 'approximately', 'eur', 'million']"
4692,"['net', 'profit', 'month', 'march', 'fell', 'xac', 'million', 'million', 'xac', 'million', 'year', 'earlier', 'finnish', 'company', 'said']"
942,"['cargotec', 'germany', 'gmbh', 'awarded', 'contract', 'stadtverwaltung', 'mainz', 'chassis', 'body', 'open', 'procedure']"
2792,"['alma', 'medium', 'corporation', 'press', 'release', 'march', 'tyrvaan', 'sanomat', 'paikallissanomat', 'bought', 'suomen', 'paikallissanomat', 'local', 'paper', 'tyrvaan', 'sanomat', 'paikallissanomat', 'appearing', 'sastamala', 'neighbouring', 'municipality', 'bought', 'suomen', 'paikallissanomat', 'oy']"
3346,"['report', 'emailed', 'business', 'day', 'order']"
1400,"['office', 'space', 'rise', 'remodeled', 'cannon', 'street', 'underground', 'station']"
2970,"['intellisync', 'wireless', 'email', 'nokia', 'fullfeatured', 'wireless', 'email', 'solution', 'connects', 'user', 'email', 'calendar', 'contact', 'note', 'task', 'list', 'away', 'office', 'according', 'company']"
1595,"['scopi', 'chief', 'business', 'excellence', 'officer', 'eng']"
210,"['contempus', 'generated', 'revenue', 'nok', 'approx']"
3641,"['czech', 'republic', 'smaller', 'profiling', 'unit', 'ostrava', 'closed', 'machinery', 'gradually', 'relocated', 'ruukki', 's', 'bigger', 'plant', 'hungary', 'poland', 'romania', 'end', 'quarter']"
1457,"['completed', 'meter', 'watchtower', 'highest', 'building', 'ireland']"
1509,"['cathay', 'forest', 's', 'strategy', 'develop', 'sustainable', 'regenerative', 'forest', 'asset']"
1395,"['marubeni', 'group', 'focus', 'creating', 'value', 'chain', 'upstream', 'downstream', 'encompassing', 'wide', 'variety', 'business', 'field', 'including', 'oil', 'gas', 'metal', 'mineral', 'resource', 'food', 'pulp', 'paper', 'chemical']"
264,"['press', 'release', 'october', 'ruukki', 'signed', 'contract', 'deliver', 'install', 'steel', 'structure', 'bridge', 'kyronsalmi', 'strait', 'savonlinna', 'finland']"
3511,"['ahlstrom', 'headquartered', 'helsinki', 'finland', 'global', 'company', 'involved', 'development', 'manufacture', 'marketing', 'high', 'performance', 'fibrebased', 'material']"
1499,"['noticeable', 'thing', 'search', 'tata', 'airtel', 'brand', 'related', 'broadband', 'connection']"
700,"['elcoteq', 'group', 'recently', 'announced', 'month', 'previous', 'year', 'brought', 'major', 'loss', 'half', 'billion', 'kroon', 'eur', 'mln', 'fifth', 'quarter', 'running']"
2301,"['russian', 'export', 'duty', 'activate', 'harvesting', 'finland', 'sale', 'russia', 'increase']"
644,"['finnish', 'metal', 'product', 'company', 'componenta', 'oyj', 'hel', 'cthv', 'said', 'today', 'net', 'loss', 'narrowed', 'eur', 'usd', 'quarter', 'eur', 'million', 'period', 'year', 'earlier']"
4789,"['change', 'market', 'situation', 'tougher', 'price', 'competition', 'substantially', 'reduced', 'demand', 'bread', 'packaging', 'manufactured', 'kauhava', 'plant', 'according', 'company']"
1405,"['order', 'includes', 'steel', 'frame', 'loadbearing', 'roof', 'structure', 'partition', 'wall', 'element', 'rautaruukki', 'said', 'expects', 'complete', 'installation', 'early', 'year']"
2585,"['aforementioned', 'shareholder', 'informed', 'propose', 'annual', 'general', 'meeting', 'number', 'member', 'board', 'director', 'shall', 'present', 'member', 'board', 'director', 'mr', 'lassi', 'noponen', 'shall', 'elected', 'board', 'director']"
929,"['contract', 'demonstrates', 'ability', 'apply', 'mineral', 'metal', 'technology', 'adjacent', 'industry', 'oil', 'shale', 'processing']"
4828,"['sevenmonth', 'sale', 'ragutis', 'controlled', 'finnish', 'brewery', 'olvi', 'declined', 'percent', 'million', 'liter', 'company', 'held', 'percent', 'market']"
4561,"['baltimore', 'police', 'pension', 'billion', 'lost', 'million', 'madoff', 'ponzi', 'scheme']"
195,"['finnish', 'messaging', 'solution', 'developer', 'tecnomen', 'corporation', 'omx', 'helsinki', 'temv', 'said', 'thursday', 'december', 'received', 'expansion', 'order', 'convergent', 'charging', 'solution', 'latin', 'america']"
2661,"['order', 'includes', 'new', 'crecent', 'headbox', 'reel']"
3494,"['filter', 'used', 'preprocess', 'packet', 'determine', 'need', 'processed', 'processor', 'network', 'device']"
2559,"['saunalahti', 'elisa', 'group']"
1860,"['poyry', 'good', 'track', 'record', 'major', 'transportation', 'project', 'latin', 'america']"
1818,"['index', 'include', 'company', 'committed', 'sustainable', 'development']"
4718,"['department', 'store', 'division', 's', 'sale', 'fell', 'eur', 'mn']"
246,"['operating', 'profit', 'rose', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
3405,"['whitehall', 'street', 'real', 'estate', 'fund', 'invest', 'real', 'estate', 'real', 'estate', 'related', 'asset', 'principally', 'acquisition', 'real', 'estate', 'company', 'real', 'property', 'mortgage', 'loan']"
1758,"['raute', 'said', 'won', 'order', 'worth', 'mln', 'eur', 'supply', 'plywood', 'production', 'line', 'mill', 'operated', 'russian', 'wood', 'product', 'company', 'sveza', 'group']"
4717,"['company', 'said', 'fall', 'turnover', 'planned']"
2669,"['proposal', 'board', 'director', 'issuance', 'option', 'right', 'correspond', 'proposal', 'board', 'director', 'notice', 'general', 'meeting']"
923,"['consumer', 'received', 'packed', 'fresh', 'meat']"
2229,"['group', 's', 'revenue', 'amount', 'eur', 'million', 'half', 'accounted', 'export']"
268,"['pretax', 'profit', 'totaled', 'eur', 'mn', 'eur', 'mn']"
669,"['february', 'finlandbased', 'steel', 'maker', 'rautaruukki', 'oyj', 'hel', 'rtrks', 'ruukki', 'said', 'today', 'slipped', 'largerthanexpected', 'pretax', 'loss', 'eurm', 'fourth', 'quarter', 'yearearlier', 'profit', 'eurm']"
2668,"['price', 'kroon', 'par', 'value', 'bond', 'kroon', 'primary', 'issue']"
1910,"['s', 'nasdaq', 'omx', 'geov', 'gypsii', 'business', 'unit', 'developer', 'awardwinning', 'gypsii', 'mobile', 'social', 'networking', 'application', 'today', 'announced', 'availability', 'free', 'download', 'samsung', 'mobile', 'application', 'store']"
2830,"['basware', 'invoice', 'processing', 'basware', 'contract', 'matching', 'basware', 'order', 'matching', 'basware', 'kpi', 'reporting', 'tool', 'basware', 's', 'enterprise', 'purchase', 'pay', 'solution', 'suite']"
1152,"['according', 'capman', 'plc', 's', 'corporate', 'governance', 'majority', 'committee', 'member', 'shall', 'independent', 'company']"
4672,"['earnings', 'share', 'eps', 'decreased', 'eur', 'eur']"
3277,"['major', 'delivery', 'include', 'different', 'ac', 'cxe', 'amplifier', 'solution', 'product', 'belgian', 'dinh', 'telecom', 'broadband', 'solution', 'company', 'acquired', 'teleste', 'spring']"
4113,"['consequence', 'work', 'council', 'withdrawn', 'petition', 'suspend', 'reorganisation']"
3671,"['marathon', 'estimate', 'value', 'remaining', 'stake', 'protalix', 'million']"
3802,"['company', 's', 'set', 'service', 'include', 'digital', 'printing', 'printing', 'preparation', 'offsetprinting', 'aftertreatment', 'service', 'send', 'service']"
2827,"['basware', 'business', 'transaction', 'service', 'enables', 'customer', 'receive', 'send', 'invoice', 'electronic', 'format']"
1915,"['commission', 'applauded', 'applying', 'factbased', 'datadriven', 'approach', 'providing', 'clarity', 'future', 'petition']"
612,"['outotec', 'oyj', 'press', 'release', 'december', 'outotec', 'establishes', 'new', 'subsidiary', 'kolkata', 'outotec', 'established', 'subsidiary', 'india', 'order', 'better', 'serve', 'indian', 'customer', 'increase', 'business', 'growing', 'indian', 'market']"
2288,"['mformation', 'nokia', 'noted', 'established', 'interoperability', 'agreement', 'cover', 'commercially', 'proven', 'standardsbased', 'management', 'mobile', 'device', 'mobile', 'device', 'security', 'mobile', 'application', 'management']"
3349,"['sale', 'price', 'disclosed']"
1898,"['europe', 'remains', 'important', 'strong', 'market']"
1649,"['potential', 'acquirer', 'cencorp', 'corporation', 'related', 'entity', 'sav', 'owing', 'sav', 'cencorp', 'subsidiary', 'finnish', 'savcor', 'group', 'oy']"
2333,"['annual', 'net', 'sale', 'unit', 'eur', 'million', 'currently', 'employ', 'people']"
258,"['operating', 'profit', 'eur', 'mn', 'eur', 'mn']"
847,"['helsinki', 'afx', 'metso', 'said', 'upgrade', 'upmkymmene', 's', 'paper', 'machine', 's', 'jaemsaenkoski', 'new', 'coating', 'color', 'supply', 'machine', 'process', 'control', 'quality', 'measurement']"
4122,"['nokia', 'certainly', 'disagree', 'qualcomm', 's', 'view', 'patent', 'situation']"
1233,"['goodwill', 'intangible', 'asset', 'account', 'mln', 'euro', 'mln', 'purchase', 'price', 'pct', 'payable', 'aspo', 'share']"
1127,"['m', 'happy', 'outcome', 'sneed', 'said', 'hearing']"
1967,"['announced', 'solution', 'unit', 'speed', 'cooperation', 'august', 'shifted', 'simonson', 'finance', 'chief', 'lowend', 'phone', 'october']"
558,"['tower', 'chose', 'add', 'operation', 'summer', 'increase', 'total', 'capacity', 'broadsheet', 'tabloid', 'page', 'ability', 'run', 'page', 'product']"
3698,"['nordea', 'bank', 'ab', 'publ', 'hold', 'alma', 'medium', 'share', 'representing', 'share', 'capital', 'voting', 'right']"
484,"['compared', 'ftse', 'index', 'rose', 'point', 'day', 'relative', 'price', 'change']"
1320,"['prothious', 'engineering', 'wwwprothiouscom', 'employ', 'large', 'portfolio', 'project', 'annual', 'detailing', 'capacity', 'tonne']"
4714,"['stora', 'enso', 'oyj', 'said', 'secondquarter', 'result', 'fall', 'half', 'compared', 'period']"
7,"['quarter', 'net', 'sale', 'increased', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
3317,"['personnel', 'reduction', 'carried', 'anjalankoski', 'hollola', 'jyvaskyla', 'jarvenpaa', 'karhula', 'turku', 'valkeakoski', 'unit']"
3523,"['cba', 'issue', 'benchmark', 'year', 'fixed', 'rate', 'deal', 'euro']"
1450,"['uponor', 'maintains', 'fullyear', 'guidance']"
3771,"['bond', 'maturity', 'year', 'bank', 's', 'domestic', 'bond', 'program']"
1814,"['technopolis', 'said', 'protocol', 'signed', 'technopark', 'built', 'site', 'covering', 'hectare', 'neudorf', 'special', 'economic', 'zone', 'planned', 'invest', 'million', 'euro', 'project', 'inclusive']"
773,"['olvi', 'posted', 'strong', 'set', 'figure', 'month', 'year']"
1011,"['summer', 'collection', 'joyfully', 'fresh', 'like', 'vitamin', 'injection', 'said', 'hm', 's', 'head', 'design', 'margareta', 'van', 'den', 'bosch']"
2789,"['alexandria', 'va', 'matti', 'harkonen', 'pentti', 'sipponen', 'espoo', 'finland', 'osmo', 'suovaniemi', 'helsinki', 'finland', 'tapani', 'tiusanen', 'vantaa', 'finland', 'developed', 'paper', 'web', 'press', 'device']"
2329,"['comptel', 'corporation', 'publish', 'financial', 'statement', 'february']"
1991,"['liquidity', 'providing', 'interrupted', 'aspocomp', 'group', 'oyj', 's', 'share', 'traded', 'cent', 'aspocomp', 's', 'stock', 'exchange', 'release']"
3986,"['hear', 'latest', 'insight', 'update', 'citycon', 's', 'strategy', 'latest', 'news', 'business', 'unit']"
1783,"['bottomline', 'result', 'improved', 'thanks', 'positive', 'financial', 'item']"
446,"['agreement', 'provide', 'switch', 'double', 'converter', 'capacity', 'whilst', 'opening', 'manufacturing', 'location', 'china']"
880,"['savon', 'koulutuskuntayhtyma', 'finland', 'based', 'company', 'awarded', 'contract', 'specialist', 'agricultural', 'forestry', 'machinery']"
781,"['talvivaara', 'maintains', 'assumption', 'turning', 'cash', 'flow', 'positive', 'year', 'end']"
1749,"['acquiring', 'rcp', 'combine', 'strong', 'knowhow', 'expertise', 'solid', 'local', 'company']"
4733,"['market', 'share', 'shrank', 'cent', 'cent', 'year', 'earlier']"
883,"['speaking', 'justdrinks', 'today', 'spokesperson', 'olvi', 'said', 'performed', 'country', 'operate', 'finland', 'estonia', 'latvia', 'lithuania']"
2258,"['acquisition', 'panostaja', 'oyj', 'expands', 'business', 'area', 'specialising', 'digital', 'printing']"
1091,"['estonian', 'beverage', 'maker', 'le', 'coq', 'today', 'brought', 'market', 'new', 'premium', 'class', 'beer', 'le', 'coq', 'special', 'investing', 'million', 'kroon', 'eur', 'development', 'planning', 'sell', 'million', 'liter', 'beer', 'year']"
2788,"['alexandria', 'va', 'march', 'jaakko', 'vilo', 'turku', 'finland', 'developed', 'panel', 'press']"
531,"['district', 'judge', 'douglas', 'p', 'woodlock', 'yesterday', 'extended', 'jan', 'temporary', 'restraining', 'order', 'march']"
4187,"['eb', 'announced', 'stock', 'exchange', 'release', 'november', 'th', 'jt', 'bergqvist', 'resigned', 'chairmanship', 'membership', 'board', 'eb']"
3193,"['company', 'time', 'possession', 'tenth', 'share', 'maximum']"
3886,"['pershare', 'subscription', 'price', 'share', 'subscribed', 'option', 'right', 'eur']"
1727,"['md', 'henning', 'bahr', 'stockmann', 'gruppen', 'praise', 'trend', 'chain', 'stronger', 'decisionmaking', 'process', 'clear']"
610,"['metal', 'gained', 'percent', 'year', 'demand', 'china', 'world', 's', 'largest', 'user', 'increased']"
570,"['following', 'increase', 'huhtamaki', 'oyj', 's', 'registered', 'share', 'capital', 'eur', 'number', 'share', 'outstanding']"
3741,"['s', 'outokumpu', 'technology', 'business', 'begin', 'trading', 'nordic', 'exchange', 'helsinki', 'starting', 'oct', 'sixth', 'company', 'list', 'exchange', 'year', 'company', 'said', 'friday']"
4081,"['cost', 'cutting', 'measure', 'produced', 'eurm', 'saving', 'past', 'month', 'dampened', 'airline', 's', 'loss', 'finnair', 'said']"
343,"['year', 's', 'net', 'sale', 'rose', 'eur', 'million', 'eur', 'million']"
2897,"['finnish', 'drug', 'distributor', 'wholesaler', 'oriolakd', 'oyj', 'said', 'october', 'named', 'anne', 'kariniemi', 'vice', 'president', 'logistics', 'sourcing', 'department', 'january']"
2978,"['process', 'taking', 'seat', 'capman', 's', 'board', 'course', 'support', 'capman', 'management']"
434,"['increase', 'number', 'share', 'based', 'option', 'right', 'granted', 'management', 'company', 'stock', 'option', 'plan']"
1903,"['kesko', 'wwwkeskofi', 'finnish', 'retail', 'specialist', 'store', 'offer', 'quality', 'daily', 'life', 'consumer', 'valued', 'product', 'service', 'competitive', 'price']"
4345,"['emerging', 'market', 'raisio', 'chosen', 'enter', 'far', 'marked', 'relatively', 'low', 'caput', 'food', 'consumption']"
2268,"['february', 'finnish', 'broadband', 'data', 'communication', 'system', 'provider', 'teleste', 'oyj', 'hel', 'tltv', 'said', 'wednesday', 'net', 'profit', 'rocketed', 'eur', 'm', 'eur', 'lifted', 'dividend', 'proposal']"
2069,"['finnish', 'ahlstrom', 'corporation', 'ordered', 'key', 'production', 'equipment', 'new', 'glass', 'nonwovens', 'production', 'line', 'russian', 'tver', 'finnish', 'vaahto', 'pulp', 'paper', 'machinery', 'vaahto', 'group']"
1537,"['finland', 'martela', 'offer', 'comprehensive', 'service', 'cover', 'entire', 'process', 'change', 'initial', 'inventory', 'design', 'removal', 'maintenance']"
4477,"['internet', 'business', 'news', 'm', 'communication', 'drive', 'protect', 'user', 'internet', 'banking', 'service', 'barclays', 'bank', 'announced', 'recommend', 'fsecure', 'internet', 'security', 'customer']"
2366,"['total', 'wonderware', 'certified', 'si', 'available', 'integrate', 'support', 'wonderware', 'product', 'intouch', '\x8b', 'hmi', 'software', 'industrialsql', 'server', 'historian', 'wonderware', 'information', 'server', 'dt', 'analyst', 'software', 'qi', 'analyst', 'spc', 'software']"
1517,"['option', 'right', 'entitles', 'holder', 'subscribe', 'new', 'share', 'subscription', 'price', 'eur', 'subscription', 'period', 'end', 'december']"
965,"['productional', 'situation', 'improved']"
4271,"['prosecutor', 'demanding', 'outokumpu', 'pay', 'fine', 'eur']"
528,"['total', 'area', 'gorelovo', 'plant', 'sq', 'm', 'atrium', 'invested', 'euro', 'mn', 'plant', 'double', 'atrium', 'russia', 's', 'production', 'capacity', 'st', 'petersburg', 'area']"
176,"['cargo', 'volume', 'grew']"
4715,"['subscription', 'sale', 'decreased', 'slightly']"
4768,"['operating', 'margin', 'aker', 'yard', 'cruise', 'ferry', 'division', 'went', 'quarter']"
4167,"['alpina', 'sport', 'lebanon', 'new', 'hampshire', 'usa', 'based', 'distributor', 'alpina', 'ski', 'shoe', 'ski', 'exel', 'ski', 'pole', 'start', 'ski', 'wax', 'peltonen', 'crosscountry', 'ski']"
572,"['company', 'supplied', 'mw', 'power', 'generating', 'equipment', 'number', 'project', 'papua', 'new', 'guinea', 'including', 'engine', 'wartsila', 'type', 'lihir', 'gold']"
2399,"['right', 'reserved']"
3328,"['power', 'supply', 'dc', 'power', 'system', 'inverter', 'designed', 'manufactured', 'efore', 'system', 'incorporating', 'used', 'different', 'application']"
2962,"['way', 'industry', 's', 'starting', 'point', 'consumer', 'need']"
3047,"['niina', 'nenonen', 'marimekko', 's', 'current', 'director', 'clothing', 'bag', 'accessory', 'line', 'role']"
2721,"['printed', 'fabric', 'related', 'design', 'expertise', 'core', 'marimekko', 's', 'business', 'brand']"
4009,"['point', 'separate', 'company', 'name', 'palmberg', 'tekmanni', 'lemcon', 'forssan', 'betoni', 'suonenjoen', 'betonituote', 'disappear']"
2620,"['customer', 'access', 'integrated', 'propeller', 'gear', 'package', 'source']"
383,"['pretax', 'profit', 'group', 's', 'life', 'insurance', 'business', 'increased', 'eur', 'million', 'eur', 'million']"
852,"['addition', 'lehdentekijat', 'oy', 'start', 'producing', 'new', 'membership', 'magazine', 'viisas', 'raha', 'wise', 'money', 'association']"
1880,"['understand', 'theyre', 'saying', 'impressive', 'watch', 'hit', 'ball', 'speed']"
370,"['strongest', 'growth', 'seen', 'new', 'market', 'russia', 'czech', 'republic', 'slovakia']"
4190,"['finnish', 'soapstone', 'processing', 'fireplace', 'maker', 'tulikivi', 'oyj', 'said', 'february', 'cut', 'job', 'fireplace', 'sale', 'organization', 'production', 'facility', 'subsidiary', 'kermansavi', 'oy']"
4192,"['finnish', 'vaahto', 'group', 'provides', 'papermaking', 'technology', 'process', 'machinery', 'starting', 'negotiation', 'concerning', 'temporary', 'layoff', 'employee', 'company', 's', 'plant', 'hollola', 'tampere', 'finland']"
1105,"['report', 'provides', 'comprehensive', 'insight', 'company', 'including', 'business', 'structure', 'operation', 'executive', 'biography', 'key', 'competitor']"
3934,"['value', 'contract', 'total', 'usdm']"
3738,"['rsa', 's', 'share', 'closed', 'p', 'time', 'going', 'press']"
1336,"['shuweihat', 'got', 'way', 'july', 'project', 'awarded', 'desalination', 'power', 'contractor']"
4457,"['according', 'karhinen', 'oppohjola', 'exciting', 'enterprise', 'cooperation', 'bring', 'huge', 'opportunity', 'customer', 'company']"
3199,"['company', 's', 'board', 'director', 'propose', 'dividend', 'eur', 'share']"
4486,"['love', 'activision', 's', 'fresh', 'colorful', 'approach', 'rapala', 'fish', 'said', 'kelly', 'brockpahler', 'rapala']"
4702,"['operating', 'profit', 'fell', 'eur', 'mn', 'eur', 'mn']"
1171,"['altia', 's', 'operating', 'profit', 'jumped', 'eur', 'million', 'eur', 'million']"
2464,"['purpose', 'possible', 'acquisition', 'pkc', 'establish', 'subsidiary', 'poland']"
2561,"['seller', 'finnish', 'elcoteq', 'group', 'largest', 'european', 'electronics', 'manufacturing', 'service', 'company']"
1422,"['share', 'share', 'capital', 'mentioned', 'shareholder', 'remains']"
2225,"['fourth', 'quarter', 'saw', 'rapala', 'swing', 'pretax', 'profit', 'mln', 'eur', 'year', 'earlier', 'loss', 'mln', 'pct', 'uplift', 'sale', 'mln', 'eur', 'stronger', 'performance', 'north', 'america']"
2518,"['net', 'investment', 'income']"
1464,"['assa', 'abloy', 'kaupthing', 'bank', 'gave', 'neutral', 'recommendation', 'share', 'price', 'target', 'crown', 'euro', 'swedish', 'lock', 'maker', 'assa', 'abloy', 'ab']"
874,"['pioneer', 'library', 'library', 'municipality', 'art', 'culture', 'higher', 'education', 'science', 'organization', 'awarded', 'grant', 'participate', 'big', 'read', 'largest', 'federal', 'reading', 'program', 'history']"
2208,"['company', 'expects', 'sale', 'revenue', 'rmb', 'billion']"
4209,"['jul', 'police', 'looking', 'man', 'say', 'terrorized', 'male', 'gunpoint', 'east', 'maple', 'avenue', 'afternoon', 'shooting', 'kidnapping']"
1251,"['switzerland', 'teleste', 'established', 'supplier', 'product', 'long', 'time', 'primary', 'customer', 'include', 'cable', 'fibertothehome', 'ftth', 'operator']"
2232,"['group', 'expand', 'chain', 'include', 'store']"
840,"['fiskars', 'strong', 'portfolio', 'international', 'brand', 'include', 'fiskars', 'iittala', 'gerber', 'silva', 'buster']"
2990,"['janis', 'arbidans', 'ceo', 'yit', 'celtnieciba', 'said', 'company', 'focusing', 'housing', 'real', 'estate', 'development', 'market']"
581,"['contract', 'signed', 'august', 'papua', 'new', 'guineabased', 'lihir', 'gold', 'asx', 'lgl']"
204,"['month', 'company', 's', 'net', 'profit', 'rose', 'eurm', 'eurm', 'corresponding', 'period']"
1641,"['number', 'customer', 'important', 'parameter', 'determining', 'price', 'electricity', 'network']"
2014,"['incap', 'expects', 'revenue', 'eur', 'million']"
905,"['long', 'tradition', 'hold', 'established', 'position', 'market']"
631,"['money', 'spent', 'strengthening', 'company', 's', 'competitiveness', 'sphere', 'sawmill', 'product', 'increasing', 'volume', 'wood', 'delivered', 'processing', 'russia', 'release', 'say']"
3916,"['total', 'emission', 'reduction']"
1974,"['appeal', 'concerning', 'project', 'lodged', 'czech', 'ministry', 'environment']"
162,"['operating', 'profit', 'net', 'sale', 'month', 'period', 'increased', 'respectively', 'eur', 'm', 'eur', 'm', 'compared', 'financial', 'year']"
3011,"['loudeye', 'corp', 'nokia', 'corp', 'cent', 'nokia', 'agreed', 'buy', 'digital', 'music', 'distributor', 'million']"
2718,"['transaction', 'tikkurila', 'powder', 'coatingsrelated', 'operation', 'company', 'said']"
4395,"['earnings', 'share', 'eps', 'dropped', 'eur', 'eur']"
617,"['selects', 'party', 'logistics', 'leader', 'transplace', 'bestinclass', 'technology', 'procurement', 'capability', 'leading', 'specialty', 'packaging', 'manufacturer', 'employ', 'complete', 'pl', 'solution', 'supply', 'chain', 'visibility', 'transportation', 'efficiency', 'increase', 'service', 'level', 'ontime', 'delivery']"
3856,"['government', 'started', 'selloff', 'month', 'putting', 'percent', 'stake', 'teliasonera', 'auction', 'bloc']"
1431,"['total', 'number', 'share', 'company', 'innofactor', 'group', 'innofactor', 'offer', 'customer', 'comprehensive', 'solution', 'microsoft', 'environment']"
547,"['finland', 'insurance', 'company', 'pohjola', 'finnish', 'motorcyclist', 'association', 'signed', 'agreement', 'aim', 'improving', 'motorcyclist', 'traffic', 'safety']"
3165,"['bank', 'land', 'acquired', 'private', 'banking', 'business', 'asset', 'management', 'share', 'brokerage', 'business', 'kaupthing', 'sweden', 'early']"
